"longitude","latitude","Lcurrent","Ccurrent","Ucurrent","L1p5degree","C1p5degree","U1p5degree","L3p0degree","C3p0degree","U3p0degree","L5p0degree","C5p0degree","U5p0degree"
3.369,6.38,0.505940804362711,0.538065299197833,1.30059922320236,0.924144269770235,1.25433725388085,1.87211579389479,1.23691863662839,1.93286790030875,2.58666391552885,1.76850202488976,2.5647243481906,3.3512299956183
3.428,6.432,0.509359204845739,0.543234814052156,1.28978213688057,0.927363967529933,1.27584358656886,1.86169117391776,1.24550513568421,1.93091246266939,2.5786326990804,1.76417098371121,2.57285438072739,3.34917525799896
3.486,6.615,0.501431468225119,0.535337340058883,1.29023189811035,0.922600298117561,1.2554994263724,1.86598719133485,1.24025747606097,1.92328146678904,2.58866037863313,1.76230471211958,2.55571125821859,3.35046548930411
3.662,6.432,0.48840811885184,0.520331571471567,1.29465565990162,0.909732941495031,1.26307197606989,1.87302028638812,1.22642111371352,1.91706427975269,2.58231849970204,1.74238486539702,2.5534720410401,3.33800249104871
3.662,6.484,0.505201724898574,0.540578651816247,1.28871431664973,0.925937723824572,1.27526453984247,1.8704060999174,1.24194963833351,1.92707268374104,2.56778235295623,1.76833516939842,2.5598805042424,3.334538152867
3.691,6.615,0.505780835983361,0.542586989284691,1.28938738525708,0.927726679907063,1.24361033492924,1.86629910329394,1.24317448181327,1.92630424878341,2.57429135389473,1.76172654555392,2.55367495874067,3.31706830543984
3.809,6.615,0.507670914828576,0.544466417905938,1.28770156986984,0.926020666051322,1.27453764338091,1.86588331559282,1.24575577069691,1.92119212090215,2.57054928279577,1.79098785342934,2.55222042637997,3.3223930191588
4.014,6.432,0.491648644206473,0.526004681745907,1.29752878877062,0.912857122956604,1.26134516481294,1.87449862544856,1.22454420146139,1.91952058100852,2.58101802714044,1.74398965397345,2.54697390919032,3.33820166726072
4.365,6.38,0.492486938245968,0.527523965210502,1.30359519644581,0.911825156762436,1.25348525148185,1.87773394572786,1.22854543559771,1.92625996408887,2.59403686473343,1.73629957051582,2.55642141274827,3.33303852887883
4.424,6.328,0.494059000170828,0.525126070569355,1.26555620527851,0.906085071740536,1.25862591451339,1.83669231542678,1.23258464431609,1.91313098928638,2.54865594288702,1.75747735962263,2.53932107863701,3.30435018596938
4.482,6.328,0.497920632814002,0.531376206357856,1.27731123278095,0.9204091975151,1.258976459023,1.85035907458325,1.23004949520807,1.91919245458044,2.56524437725852,1.74857048951109,2.54687697239484,3.32267849423116
4.775,6.068,0.499973226720799,0.536279055229479,1.29607706670491,0.922720234466085,1.26666606317892,1.87757943571225,1.24773206280745,1.93005257659352,2.59228433049086,1.7648837626958,2.56447380563544,3.34741967755108
5.186,5.443,0.488877014616299,0.52408465817831,1.33882125051992,0.908358102292749,1.25294897839124,1.91641173718806,1.22656467024175,1.95028446196489,2.62494232646741,1.75081367498469,2.58983597733892,3.39311975437145
5.596,4.635,0.480272795384929,0.520068234577769,1.28064768668297,0.906401476218223,1.26452474413566,1.86463898954403,1.21133697386731,1.92103273631068,2.58576859355854,1.75046251866002,2.56552288860086,3.34687026341446
6.709,4.323,0.482973826816183,0.515033442763806,1.33560467171925,0.902823904791248,1.25276997609629,1.91247847502224,1.21710979979371,1.94169651301513,2.6477279930464,1.74309716585645,2.58637208049201,3.42635763297911
6.738,4.339,0.486757433280013,0.518430330616022,1.33661095374896,0.909174592765493,1.25387306907347,1.92323956620688,1.2288746888189,1.95357398274453,2.63638659680607,1.75097870102185,2.59809519134612,3.42309580656528
7.119,4.349,0.486568714536387,0.519688621915523,1.35552043498519,0.90577357141529,1.25760366504925,1.93048605279387,1.21725113792057,1.95915599035122,2.6446109407635,1.73205682953308,2.58890412500695,3.40920014434476
7.178,4.349,0.48254127536327,0.514953758254767,1.36653818917612,0.902928250705121,1.23431556508327,1.94392646114816,1.22122928181266,1.96470229325472,2.65944760993197,1.73499899840948,2.59164130489354,3.41201217630895
7.236,4.349,0.477164448325103,0.5091859979283,1.36572001067861,0.893929551352912,1.21003132935533,1.93982305354471,1.21194172367368,1.96651262763225,2.65597582208349,1.73503557713295,2.59760696507854,3.44252765394408
7.295,4.349,0.477134614266057,0.509450442603749,1.36884613988861,0.896853366722408,1.22765843704909,1.9508477754344,1.20654989013248,1.96462600183822,2.64796835708162,1.74535543246549,2.58798452815345,3.42249724890987
7.412,4.427,0.481085743241281,0.51148116429055,1.36900134346259,0.900574225272326,1.23514200851947,1.94868577028358,1.22172872426329,1.96319898081831,2.65980176687117,1.7426615322069,2.60002678020002,3.4294736136137
7.529,4.453,0.483072764323094,0.515206976795017,1.40443719546544,0.901068570503612,1.24112893741755,1.9868179211981,1.22427949850755,1.99356309319812,2.70841913742359,1.74122539870473,2.62017283637737,3.46044292781047
7.939,4.505,0.492759139743952,0.527368647524477,1.39722197627317,0.913374594772414,1.24893443424873,1.97486297223779,1.21577112129008,1.98358206557271,2.68976243753819,1.74570110465135,2.62945570357753,3.45362453274131
8.35,4.609,0.528965145029964,0.569397172805594,1.55358138534453,0.950796951727121,1.29310749433609,2.1265697573835,1.27982231265025,2.10278043968023,2.82769976557374,1.77014979343027,2.73014303766767,3.58024410144573
8.408,4.609,0.536356127120788,0.579326552534292,1.54541932419363,0.958978620665054,1.30048993807423,2.11980253708686,1.28182023699615,2.08425897288066,2.82750461658069,1.79504759436067,2.72214126169818,3.59830083277253
