"longitude","latitude","Lcurrent","Ccurrent","Ucurrent","L1p5degree","C1p5degree","U1p5degree","L3p0degree","C3p0degree","U3p0degree","L5p0degree","C5p0degree","U5p0degree"
-1.465,55.13,1.8588167210417,2.2696606251387,3.5876642749162,2.15630745140216,2.67898934385701,3.92240446938768,2.40076383169926,3.18149711071888,4.37984507947028,2.7593390065042,3.56822575252286,4.75203489059987
-1.465,55.182,1.90254513088259,2.29930960444204,3.54955496665599,2.21805895340332,2.68388190387692,3.88839334737988,2.46668882077397,3.2114292459103,4.36168153028963,2.81082282855986,3.60066560258808,4.70940415618978
-1.348,54.87,1.89674866888949,2.31986706623372,3.61976366117149,2.20862142451785,2.6964643324901,3.96092152522583,2.4492659190113,3.22587994549771,4.4104570814117,2.81274841106741,3.60613491901425,4.78407540542817
-1.348,54.974,1.88048338307607,2.28875457393926,3.61031381062959,2.19223508851758,2.66177854462961,3.95848107358568,2.44700567496105,3.20353293194154,4.40837940564202,2.79435868643969,3.56184977765002,4.76100552076749
-1.23,54.661,1.91779121593761,2.34449616952648,3.65473162781109,2.22808648670547,2.70594933694651,4.00500211664272,2.48070307551242,3.24342729073617,4.46621904837439,2.8328151044006,3.65999592605088,4.82525919928763
-0.879,54.609,2.02689600157838,2.4531412120118,3.77294345095069,2.36021205476783,2.83789658240996,4.12693683603531,2.60884680602326,3.38874480970563,4.58555399003537,2.98375330379288,3.75548116682434,4.96760309878724
-0.293,54.245,2.21954709727014,2.7548072927703,3.96840631427226,2.55445478498077,3.13205077662279,4.33916064177897,2.83567713313329,3.72019136403535,4.7965712035146,3.20779990887709,4.04541660094746,5.17758374337558
-0.176,53.88,2.09883251715055,2.56318394995243,4.29121852769856,2.42947220066581,2.98183903298886,4.64116457307233,2.69529929694173,3.50276196132432,5.11668121450497,3.0583170695731,3.92447390314234,5.48991712675818
-0.059,53.568,2.20495183141534,2.68503725801562,4.54687681734195,2.5296353362972,3.07774300651185,4.90207675923516,2.79776188069573,3.61932608192101,5.36142015478193,3.20236681834608,4.04226843999884,5.74303041651344
-0.059,53.62,2.18285294832926,2.69143790559045,4.50718435895772,2.51917929204523,3.06885941755392,4.86481597385266,2.77331400801878,3.60923204207685,5.3405228969575,3.16068499426409,4.04747908553545,5.71599129473344
-0.059,53.828,2.101353660375,2.57027444039394,4.23478796871877,2.42570407677759,2.97910894066106,4.5985472511562,2.71154241515915,3.49402035262053,5.07056031001531,3.06626383645412,3.90304359923179,5.42330035639413
0.059,52.891,2.42795717384684,2.95415319721394,4.99206493138617,2.78726277817085,3.36173713528187,5.36734810625087,3.07800953971253,3.95776376066323,5.86747048412133,3.49957873757483,4.37574769373477,6.28492101922303
0.059,53.516,2.12819755879621,2.62385821169534,4.60026210303896,2.46472203852335,3.00814561890906,4.95315405402569,2.71268836868928,3.53657425606802,5.42399246541074,3.10336753263811,3.90624856942497,5.78969103733016
0.176,53.568,2.114099445218,2.5741465318866,4.54785252141759,2.44739237877597,2.97185392704362,4.91296011170143,2.7236852151529,3.52881337783195,5.39089040199641,3.09225809142217,3.90429361144636,5.74754981430461
0.293,53.307,2.26442680082556,2.77272582640321,4.72576776980149,2.58607228376067,3.16072945466455,5.09330191880354,2.85876106592839,3.68956417179493,5.53485171310749,3.24430219438363,4.12049969238798,5.92643187213714
0.527,51.38,3.4326823745864,4.07604487136467,4.64503467400973,3.80025881688378,4.45336634409924,5.03285132202236,4.11407314487801,4.8386175396933,5.50117743058915,4.53560977586752,5.25474898963146,5.91791680854765
0.527,51.432,3.42358410590561,4.07161242256513,4.61286449772011,3.79586362692104,4.44830069743183,4.99632089150882,4.12579997516708,4.83560349089722,5.480591789029,4.52588812330235,5.26062025233795,5.88523085657313
0.527,52.943,2.45305755774433,3.01023211091798,4.96451337941605,2.79916175638303,3.41379608104265,5.34065193517021,3.09028863237342,3.93315801677711,5.8210756747304,3.47557074575898,4.37130843218692,6.23088330687013
0.645,51.536,3.44317897165057,4.06796673872686,4.60713158488783,3.80448916948291,4.43189674356304,5.00329143411788,4.12756566912874,4.83466179889015,5.46798886795988,4.53743277607016,5.24819037836571,5.90736301714639
0.762,51.432,2.53576981558548,3.21013863539069,4.62517853187245,2.89863969247082,3.59186339937797,5.01043269454366,3.19976335263798,4.18860820117707,5.48863969479176,3.62401939984421,4.5828774013381,5.94386673640342
0.879,51.302,2.62305450290089,3.32069901826731,4.62517853187245,2.99651030749065,3.71239541687022,5.01022912169444,3.29415178441934,4.26979908674487,5.50722169741296,3.72135039775573,4.71804775509205,5.91113492300664
0.879,51.589,2.49975611919329,3.1270265538988,4.54520979697188,2.85036067491923,3.52136217669646,4.93333670521108,3.16484489608232,4.06253446376759,5.39209171668159,3.58095818708451,4.51186895104934,5.81465514386856
0.879,51.745,2.42067172755031,3.05188009449014,4.31170094540786,2.77233895839152,3.43543845653746,4.70602645552799,3.06302454381476,3.98578167027645,5.19200666728756,3.50581393456687,4.41115277106371,5.60015940971974
0.879,52.995,2.51085671053007,3.10691605682175,4.59683419405994,2.85696882952646,3.48287991407889,4.9673443022801,3.16076262398104,4.05740404446141,5.44648698320408,3.53269654337255,4.42460948142863,5.83390195861447
1.113,51.745,2.3975367910751,3.00646120706733,4.29786382995228,2.74951820807856,3.4024118700224,4.67578952194282,3.04737032618786,3.95879614000899,5.16802157558685,3.45981505544883,4.36497016105788,5.55163519346087
1.23,51.068,1.57075186411426,1.8230902863883,4.80266228865827,1.90777799237649,2.26783527537345,5.20355063293123,2.16116944236845,2.90000916871414,5.67178480082133,2.57201105772521,3.34101006494262,6.06977232947724
1.23,51.432,2.54909825350518,3.24555654971997,4.55919895776612,2.89554212023135,3.63868946848693,4.93933990255507,3.2005075940922,4.18522985068904,5.39759392769253,3.61388868131587,4.56191391469669,5.82232114534079
1.23,51.849,2.4225785296195,3.01347997542947,4.02555873010617,2.78886837202355,3.41801720980223,4.39615010542668,3.07062813519128,3.92056554903579,4.88801946253914,3.4975909346737,4.35445132057785,5.27849476783834
1.348,51.432,2.51290901307264,3.1556469756143,4.53842472702695,2.87292825951786,3.56831086476448,4.90994438611082,3.16089030612644,4.06218434295859,5.38780986452524,3.5680512700781,4.55508806766641,5.79971792658394
1.348,51.953,2.35670315163053,2.98451475534708,3.96576892292452,2.71123607514426,3.3716610422663,4.34789082314037,2.9996620925,3.89460594307107,4.84092272522636,3.42673402624546,4.31052721547783,5.23955799628576
1.465,51.276,2.24583290211849,2.7814779077758,4.32643052161275,2.60348303905397,3.16975389813984,4.7125949849634,2.89948140041931,3.74639338946739,5.1713101691362,3.30766704006004,4.1582977395904,5.61978068734827
1.465,52.057,2.47278991696631,3.05294024190633,3.70094623689935,2.8362162687885,3.41991730500424,4.06867040187185,3.13426124265056,3.82693748854369,4.57527338954813,3.536728207565,4.23846288305491,4.94992505849253
1.465,52.891,3.14634642322165,3.64141108019533,4.14057065603229,3.49377059381439,4.00031676207527,4.52096578358416,3.79075705667904,4.3930918325669,4.97907197424477,4.19695490379908,4.78299982946165,5.37780655942135
1.699,50.911,1.7248866668669,1.99761797804105,5.10901972739334,2.06998290648104,2.43749783579083,5.49035661648812,2.33319863285199,3.0671690749121,5.97893480799395,2.73680744651184,3.51694359926434,6.40351761757113
1.699,52.318,2.42384465497779,2.77512870216621,3.313193637321,2.77090460396107,3.14295901488328,3.67903853490006,3.05128909823159,3.544868290762,4.14587936284358,3.44669225747316,3.94064474019502,4.53833209337418
1.699,52.37,2.51181995416215,2.85959876578671,3.22956215543916,2.86143283360245,3.2223577358285,3.60458498466526,3.15885549598923,3.61384627000062,4.10449259973435,3.53296722865153,4.00319568563894,4.50343733712011
1.699,52.578,2.60204864125821,2.95350976874236,3.37079869629516,2.94949430382533,3.31037007335927,3.72951429276561,3.23650280927564,3.7008388265927,4.22797299334338,3.65356061108567,4.09194837943403,4.61793042187941
1.816,50.964,1.81101676137918,2.18554785149803,4.86949927297007,2.15913195148362,2.62342959425647,5.25428854453933,2.44217151551112,3.21146440820092,5.74564818550093,2.8544580460916,3.65835352995286,6.15905879944168
1.934,51.016,1.93684844925597,2.35708337137232,4.9078636613894,2.29811767814768,2.76538173539677,5.29452966573606,2.56954720452816,3.36072252681713,5.77215775429966,3.00197254487874,3.81713866291739,6.19324327958656
2.051,51.016,2.01331556136202,2.46322212424016,4.82025587892946,2.37190873173244,2.89482112790656,5.19980019508339,2.65402937764985,3.45920027120339,5.68659520458833,3.06089297188533,3.92391958258532,6.10009693901548
2.168,51.016,2.10220383906243,2.58913519951073,4.89058242201013,2.45128164588912,2.99575383202456,5.2612133612842,2.73854521815146,3.54744677475288,5.75340520842245,3.15895258921712,4.00281779276383,6.13801673162241
2.285,51.068,2.19198365971637,2.67936684900702,4.9678846672032,2.54165911817369,3.08358877250549,5.34202300317655,2.81899822749941,3.63143919619599,5.81864485028359,3.24734991990215,4.06626498279949,6.22801383353948
2.402,51.068,2.2516371290141,2.77418992740868,4.78011711208398,2.593679866521,3.1615890712685,5.16138701480447,2.89453762940675,3.72894088711242,5.63322822401338,3.28133146000555,4.14376771553479,6.03962166536463
2.52,51.068,2.2720463957317,2.79449468138348,4.8044211036421,2.62283727838126,3.18022587277769,5.18321089247551,2.91186354473223,3.77556991335281,5.65346146836097,3.31313837557026,4.16122212331355,6.03730916991064
2.637,51.12,2.29580044088588,2.80990816102215,4.83654035156838,2.64075476218374,3.20615065820398,5.21466018782071,2.93599167251368,3.75867429004399,5.67859597007016,3.33795198766459,4.19084443452968,6.09946433565162
2.754,51.172,2.31105676733627,2.83390782567907,4.72095524635771,2.6680486769739,3.22832624317764,5.10504139954181,2.9605089269013,3.78263097493824,5.55733145574599,3.36728324602466,4.162173052251,5.9832097834944
2.871,51.224,2.40097933630979,2.92175228684002,4.55826576741721,2.76035236225504,3.36277499453566,4.9406360341917,3.05982142977704,3.90551631363962,5.39742170322426,3.44877739298871,4.32991270092191,5.81547399720956
3.105,51.328,2.43336893137347,2.98972179855634,4.69663955268872,2.78348531252254,3.40303886181897,5.0851691652895,3.08320556676673,3.93633505922145,5.54462885281696,3.49803400984889,4.38461912380786,5.96390905027172
3.34,51.38,2.49047628390832,3.04352436040977,4.64499052343226,2.84601415988403,3.43282623209288,5.00140159074005,3.15534566640878,3.94999954216108,5.48168332119417,3.52989926712051,4.4092438521456,5.90654967275546
3.457,51.484,2.581344343676,3.12531489680828,4.50419497502094,2.93725210589145,3.5330315380395,4.87277095573123,3.21601214294067,4.07876110689061,5.36327299353431,3.63503767133436,4.49104173401667,5.76353915013206
3.457,51.536,2.56430276356446,3.12934777652539,4.40457400728115,2.90972034508244,3.50612395953431,4.79216100536217,3.21471084050412,4.05695116761554,5.21818844334347,3.61489698734145,4.47711341209326,5.66023902242841
3.574,51.38,2.61190599264593,3.15028368688009,4.59199278539906,2.96976351308139,3.55499212620795,4.97223907315966,3.27150866611873,4.11533031740334,5.41788240495466,3.67865548954616,4.48273038446625,5.85420569076378
3.574,51.432,2.59281000900594,3.14789388950729,4.56484245542935,2.94011057422307,3.55859342768701,4.94725498273363,3.23800438568955,4.11232808745709,5.41371004932289,3.64397471226851,4.5544183930732,5.8473936928756
3.574,51.484,2.58877231723565,3.1229303779853,4.52757829636088,2.93538506265709,3.52471191586068,4.91247525460413,3.237202133919,4.09976811351394,5.37147436555583,3.6274966362158,4.49274280653345,5.7827343332458
3.691,51.432,2.62411531520623,3.17955035161288,4.31946629458512,2.98046677041396,3.59153522989171,4.69774646388949,3.2676183883937,4.08478992178004,5.14625419961776,3.68408601579828,4.51183988890359,5.54182396768077
3.691,51.589,2.61658440196819,3.18570541250546,4.28749993027052,2.96335513448513,3.57442135009696,4.66335196227746,3.24648969295688,4.05346002381845,5.1062303995389,3.66131290776403,4.4936816020838,5.53832491046967
3.809,51.328,2.68032378940187,3.25059866403798,4.43175745571976,3.03011909432506,3.65083596142108,4.79567339380637,3.31477892144445,4.14040259924366,5.27097508585262,3.73199991131927,4.57324556786598,5.66720387244015
3.809,51.38,2.65712179250991,3.19859789437584,4.42055849391283,3.01648504918591,3.59311926598396,4.80331516389833,3.30527388658044,4.14201288588949,5.24686042866238,3.72320252069076,4.53756975214049,5.65450082019872
3.809,51.797,2.68221132158908,3.19128455386839,3.97483164204744,3.0403648136707,3.57174315260444,4.36059592897827,3.33769083290659,3.98694284431595,4.8223820204579,3.7452161312367,4.42813388014416,5.23896822415096
3.926,51.432,2.65673585909232,3.22767806354233,4.4464287065395,3.01206275261028,3.61940890348874,4.81643144081532,3.30959872754765,4.1281169965618,5.24810938671968,3.71082306203401,4.56678516239545,5.69346849511467
3.926,51.536,2.65638979341112,3.21226922571762,4.46227300391,3.00228691710456,3.60945783095095,4.83101995256756,3.30090742202715,4.11807531730591,5.27940486789231,3.72809787942381,4.57471911683241,5.68630292092072
3.926,51.641,2.67963777793557,3.21077151288307,4.14504627337239,3.03416451627627,3.60917462230787,4.52285860340127,3.30776923160556,4.05092244042969,4.98370166050266,3.74657392996863,4.48373539939684,5.37955198915536
3.926,51.849,2.71278934755032,3.24290124487271,4.09149640612777,3.06846191721898,3.61065929367533,4.46249421187522,3.36718310449684,4.05663212036364,4.92927842398525,3.77644296956197,4.46470673784768,5.36296476531098
4.043,51.38,2.68601318261192,3.23995611867596,4.52103790864336,3.04038956516207,3.68076160138798,4.89461097812172,3.35568239175476,4.17191545095456,5.38194850364047,3.75433592378257,4.59662840947861,5.7601560458994
4.043,51.589,2.69505129411894,3.209318617336,4.21285674935833,3.05047007761091,3.60275854538268,4.59618109681728,3.34609180181902,4.05285689382954,5.02832603328101,3.74284200654149,4.47634712533559,5.46263357407828
4.043,51.641,2.68222461031531,3.23161345435584,4.13322774530759,3.04352240329697,3.61486757250192,4.51926133767983,3.33599723548008,4.05811044163787,4.95737636900164,3.74761874717325,4.47176609117461,5.39683890781588
4.043,51.953,2.74281363634942,3.25726555249517,4.10309612079363,3.10566299838252,3.64702002793404,4.4755063194056,3.38515722604416,4.07422707580077,4.94955506620431,3.81333615530718,4.47834060591012,5.33122809002974
4.16,51.432,2.70497892748103,3.25541880046176,4.24333315311739,3.06588379658678,3.63510719546177,4.62336083482924,3.3488458915885,4.06570301169348,5.07115002355077,3.74960424472985,4.50868864836437,5.48910342272992
4.16,51.536,2.71372832027942,3.27022871621439,4.22006488889791,3.07522366264967,3.64834354184491,4.59709037291683,3.36753701872056,4.07580360190595,5.02840738494437,3.77187901947542,4.49372168552645,5.4479436296672
4.16,51.589,2.71315756021628,3.24176883464475,4.18883944307181,3.07788588234564,3.62114843181843,4.56525457956729,3.34932735317739,4.06129876059985,4.99856302219285,3.77627384812,4.47198976240603,5.42391936199628
4.16,51.641,2.72212885212622,3.27770148435713,4.27015485269148,3.06885528289804,3.66087283299419,4.63847941320758,3.38256696153188,4.09395887331897,5.09624894279698,3.78753522827228,4.51034984892049,5.52372617818311
4.16,52.005,2.75811085779446,3.21286622177018,3.95417858881744,3.1187990279578,3.583788556341,4.33254169476627,3.41830331211681,3.99278204114453,4.7833911161403,3.82575965092699,4.41164515701916,5.18441424494715
